FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,State_code
42025,Florida,US,4/3/2020 22:46,40.91545395,-75.7068525,34,1,0,0,
49007,Florida,US,4/3/2020 22:46,39.64834818,-110.5872512,1,0,0,0,
56007,Florida,US,4/3/2020 22:46,41.69357844,-106.9326084,3,0,0,0,
27017,Florida,US,4/3/2020 22:46,46.59180601,-92.67601019,5,0,0,0,
24011,Florida,US,4/3/2020 22:46,38.87172293,-75.82904158,4,0,0,0,
51033,Florida,US,4/3/2020 22:46,38.02679129,-77.34901405,1,0,0,0,
5015,Florida,US,4/3/2020 22:46,36.3403856,-93.54270261,1,0,0,0,
13045,Florida,US,4/3/2020 22:46,33.58138199,-85.07976677,143,2,0,0,
17015,Florida,US,4/3/2020 22:46,42.06823429,-89.93395545,4,1,0,0,
18015,Florida,US,4/3/2020 22:46,40.5807832,-86.56198812,2,0,0,0,
19027,Florida,US,4/3/2020 22:46,42.03617207,-94.86032705,1,0,0,0,
21041,Florida,US,4/3/2020 22:46,38.66599534,-85.12601074,2,0,0,0,
24013,Florida,US,4/3/2020 22:46,39.56453592,-77.02373735,129,5,0,0,
28015,Florida,US,4/3/2020 22:46,33.44834567,-89.91994479,5,0,0,0,
33003,Florida,US,4/3/2020 22:46,43.87498583,-71.20430216,14,0,0,0,
39019,Florida,US,4/3/2020 22:46,40.5789686,-81.09178213,5,0,0,0,
47017,Florida,US,4/3/2020 22:46,35.97366108,-88.45189331,6,0,0,0,
51035,Florida,US,4/3/2020 22:46,36.73066666,-80.73455942,1,0,0,0,
32510,Florida,US,4/3/2020 22:46,39.15509045,-119.7480219,5,0,0,0,
29035,Florida,US,4/3/2020 22:46,36.94160441,-90.96051322,4,0,0,0,
40019,Florida,US,4/3/2020 22:46,34.25103751,-97.28552485,1,0,0,0,
47019,Florida,US,4/3/2020 22:46,36.28969086,-82.12588974,3,0,0,0,
37031,Florida,US,4/3/2020 22:46,34.8932941,-76.54120135,16,0,0,0,
